Tanggal,SMA_10,WMA_10,Momentum_10,Stoch_K%_10,Stoch_D%_10,RSI_10,MACD,Williams_R%_10,AD_Oscillator,CCI_10
2021-08-01,2858.656,2740.1832727272727,-607.4299999999998,14.079564670133395,33.40924086073676,23.509607417292457,-182.45962267179675,85.9204353298666,0.4877429328621919,-76.33551942976003
2021-07-31,2797.804,2680.825818181818,-608.52,14.409421093128527,29.900289969371077,23.487277797141843,-193.38723056300887,85.59057890687147,-0.0350053854439158,-88.5933299510739
2021-07-30,2727.606,2619.5796363636364,-701.98,16.152081964756963,25.4533803673273,20.668215473583917,-205.42786659671583,83.84791803524304,-0.4419508867667122,-103.44286194634552
2021-07-29,2664.492,2556.547636363636,-631.1400000000003,12.411863334036552,24.100654336944103,21.96876832063101,-218.90371686133855,87.58813666596345,-0.491910392034846,-117.6778629115291
2021-07-28,2578.603,2490.114545454546,-858.8899999999999,7.55007924156543,18.632020910166307,9.550048508481908,-233.49404152038687,92.44992075843456,-0.384947563232574,-127.70619168956782
2021-07-27,2519.682,2439.4994545454547,-589.21,21.346897960958188,18.054123131138446,12.905906498281254,-242.17575979718688,78.65310203904181,0.1180622586872571,-120.60523772375336
2021-07-26,2459.914,2386.744545454545,-597.6799999999998,12.486553443948257,15.60783464824076,12.76972143319874,-251.85692642662025,87.51344655605175,0.507845208749072,-88.44646359012613
2021-07-25,2406.364,2337.6310909090907,-535.5,13.792457967463095,13.937127417302396,13.841998649561065,-259.7418640829956,86.20754203253689,-0.3998145787460868,-120.88495667010682
2021-07-24,2370.884,2291.355818181818,-354.8000000000002,7.65512914002745,13.960596434725383,18.31011075384059,-265.98605325442395,92.34487085997254,-0.4947822957898531,-109.14532347276932
2021-07-23,2322.441,2246.396909090909,-484.42999999999984,17.71846403585642,13.760251285187428,0.2280900030822295,-270.0998076963756,82.28153596414359,-0.1714970244995755,-118.92844433932306
2021-07-22,2269.2760000000003,2192.240363636364,-531.6500000000001,12.05766054357075,13.558060872531165,0.2079157847415444,-278.1446032540716,87.94233945642925,-0.8834524463991215,-134.43625198136297
2021-07-21,2215.506,2142.2792727272727,-537.7,33.27642643490037,15.444761406708349,0.2055860127425575,-283.67810856845927,66.72357356509963,0.018200612840108,-138.46747085493635
2021-07-20,2148.018,2064.2,-674.8799999999999,9.215998646572004,14.751153074889851,0.1639344262294457,-301.4067738880681,90.784001353428,-1.2880661875313413,-161.77268401212834
2021-07-19,2091.732,2004.2094545454547,-562.8599999999999,13.727425244251435,14.88270926591134,5.263241559102127,-309.30921225655857,86.27257475574856,1.1956280103742136,-102.90718906858515
2021-07-18,2051.063,1967.9709090909091,-406.69000000000005,24.209442979797267,16.548645639734524,17.287366676855243,-306.0446359098596,75.79055702020273,1.595742685671417,-55.59834242039951
